"Intersection","Analysis Neighborhood","Latitude","Longitude"
"JAVA ST \ MASONIC AVE","Haight Ashbury","37.76642227173","-122.44454956055"
"ALPHA ST \ TIOGA AVE","Visitacion Valley","37.71555709839","-122.40256500244"
"MONTAGUE PL \ MONTGOMERY ST","North Beach","37.80057144165","-122.40433502197"
"STEINER ST \ WALLER ST","Haight Ashbury","37.77096557617","-122.43190765381"
"CAPITOL AVE \ DE MONTFORT AVE","Oceanview/Merced/Ingleside","37.72365188599","-122.45921325684"
"23RD AVE \ VICENTE ST","Sunset/Parkside","37.73913574219","-122.47972106934"
"GAVEN ST \ MERRILL ST","Portola","37.73304748535","-122.40969085693"
"LAIDLEY ST \ MIGUEL ST","Glen Park","37.73774337769","-122.42825317383"
"MISSION ST \ SANTA ROSA AVE","Outer Mission","37.72576141357","-122.43398284912"
"HEATHER AVE \ MAYFAIR DR","Presidio Heights","37.78576660156","-122.45291137695"
"GLADEVIEW WAY \ PANORAMA DR","Twin Peaks","37.75274658203","-122.45072937012"
"SIBERT LOOP \ THOMAS AVE \ UNNAMED 161","Presidio","37.79549789429","-122.46168518066"
"44TH AVE \ SLOAT BLVD","Lakeshore","37.73551559448","-122.50202941895"
"03RD ST \ BRYANT ST","South of Market","37.78132247925","-122.39584350586"
"BOSWORTH ST \ BROMPTON AVE","West of Twin Peaks","37.73371887207","-122.43499755859"
"RIVERTON DR \ SLOAT BLVD","Sunset/Parkside","37.73411560059","-122.48728942871"
"AMBROSE BIERCE ST \ ANNIE ST","Financial District/South Beach","37.78709793091","-122.40157318115"
"GODEUS ST \ MISSION ST","Bernal Heights","37.74282073975","-122.42167663574"
"30TH ST \ CHENERY ST","Glen Park","37.74214172363","-122.42581176758"
"SACRAMENTO ST \ STEINER ST","Pacific Heights","37.78963088989","-122.43567657471"
"BARNEVELD AVE \ SWEENY ST","Portola","37.73315811157","-122.40727996826"
"GREENWICH ST \ IMPERIAL ALY","Marina","37.80010604858","-122.42678833008"
"DIVISION ST \ RHODE ISLAND ST","Mission Bay","37.76982879639","-122.4030380249"
"08TH AVE \ CABRILLO ST","Inner Richmond","37.77527236938","-122.46601867676"
"CAPISTRANO AVE \ SAN GABRIEL AVE","Outer Mission","37.72927093506","-122.43770599365"
"GATEVIEW CT \ MENDOSA AVE","West of Twin Peaks","37.74812698364","-122.46674346924"
"GEARY BLVD \ LAGUNA ST","Western Addition","37.78495407104","-122.42798614502"
"CORBETT AVE \ CORBIN PL","Castro/Upper Market","37.7617225647","-122.44287872314"
"21ST AVE \ LAKE ST","Outer Richmond","37.78593444824","-122.48085784912"
"15TH ST \ NOE ST","Castro/Upper Market","37.76586151123","-122.43325805664"
"25TH ST \ NOE ST","Noe Valley","37.74982833862","-122.43171691895"
"KEARNY ST \ LA FERRERA TER","North Beach","37.80393981934","-122.40664672852"
"MCCORMICK ST \ MORRELL PL \ PACIFIC AVE","Russian Hill","37.79536056519","-122.41911315918"
"39TH AVE \ WAWONA ST","Sunset/Parkside","37.73651123047","-122.49672698975"
"COLUMBUS AVE \ GREEN ST \ STOCKTON ST","Chinatown","37.79948806763","-122.40901184082"
"07TH AVE \ IRVING ST","Inner Sunset","37.76412963867","-122.46417236328"
"19TH AVE \ SAINT CHARLES AVE","Oceanview/Merced/Ingleside","37.71381378174","-122.46932220459"
"16TH ST \ MARKET ST \ NOE ST","Castro/Upper Market","37.76419448853","-122.43307495117"
"MISSION ST \ YERBA BUENA LN","Financial District/South Beach","37.78512191772","-122.40350341797"
"HOWARD ST \ MARY ST","South of Market","37.78087997437","-122.40571594238"
"23RD AVE \ CRESTLAKE DR \ SLOAT BLVD","Sunset/Parkside","37.73453140259","-122.47946166992"
"MARKET ST \ PORTOLA DR","Noe Valley","37.75008392334","-122.44334411621"
"22ND ST \ POTRERO AVE","Mission","37.75616836548","-122.40663909912"
"30TH ST \ SANCHEZ ST","Glen Park","37.74196243286","-122.42872619629"
"09TH ST \ DIVISION ST","Mission","37.76946258545","-122.40621185303"
"GATEVIEW AVE \ MARINER DR","Treasure Island","37.829662323","-122.37560272217"
"HEARST AVE \ RIDGEWOOD AVE","West of Twin Peaks","37.73067092896","-122.4534072876"
"DIANA ST \ SHOUP AVE \ WILLIAMS AVE","Bayview Hunters Point","37.72980117798","-122.39640808105"
"FULTON ST \ STEINER ST","Western Addition","37.7774887085","-122.43321990967"
"GOUGH ST \ JACKSON ST","Pacific Heights","37.79351806641","-122.4263381958"
"SAN PABLO AVE \ YERBA BUENA AVE","West of Twin Peaks","37.73634719849","-122.46203613281"
"25TH AVE \ CABRILLO ST","Outer Richmond","37.77443695068","-122.48432922363"
"21ST ST \ TREAT AVE","Mission","37.75736236572","-122.41344451904"
"23RD ST \ CAROLINA ST","Potrero Hill","37.75469207764","-122.39958190918"
"CHESTNUT ST \ SCOTT ST","Marina","37.80018997192","-122.44117736816"
"DELANO AVE \ SAN JUAN AVE","Outer Mission","37.72644805908","-122.44051361084"
"CALIFORNIA ST \ PIERCE ST","Pacific Heights","37.78848648071","-122.43712615967"
"MISSION ST \ SAN JUAN AVE","Excelsior","37.72400665283","-122.43531036377"
"38TH AVE \ ULLOA ST","Sunset/Parkside","37.74028396606","-122.49591827393"
"CAMBON DR \ FONT BLVD","Lakeshore","37.71589660645","-122.47444915771"
"BRODERICK ST \ PACIFIC AVE","Pacific Heights","37.79229736328","-122.44300842285"
"GROVE ST \ OCTAVIA ST","Hayes Valley","37.77760314941","-122.42481231689"
"22ND ST \ KANSAS ST","Potrero Hill","37.75706863403","-122.40280151367"
"MANZANITA AVE \ MAYFAIR DR","Presidio Heights","37.78597640991","-122.45124053955"
"19TH ST \ ALABAMA ST","Mission","37.76038360596","-122.41170501709"
"CLEARFIELD DR \ MORNINGSIDE DR","Sunset/Parkside","37.73377990723","-122.49156188965"
"BANBURY DR \ STRATFORD DR","West of Twin Peaks","37.71998214722","-122.47360992432"
"PACIFIC AVE \ PELTON PL","Chinatown","37.79680252075","-122.40762329102"
"30TH AVE \ SEA VIEW TER","Seacliff","37.78435134888","-122.49041748047"
"ANDERSON ST \ CORTLAND AVE","Bernal Heights","37.73893356323","-122.415184021"
"ECKER ST \ FOLSOM ST","Financial District/South Beach","37.78667831421","-122.39526367188"
"DE HARO ST \ FONTINELLA TER","Potrero Hill","37.75106811523","-122.40029144287"
"CESAR CHAVEZ ST \ MISSISSIPPI ST","Bayview Hunters Point","37.74991607666","-122.39334106445"
"BRODERICK ST \ GREEN ST","Pacific Heights","37.79510879517","-122.44357299805"
"18TH ST \ DANVERS ST","Castro/Upper Market","37.76037597656","-122.44337463379"
"BLAIRWOOD LN \ CHRISTOPHER DR","Inner Sunset","37.75461959839","-122.4582901001"
"LAMSON LN \ THORP LN","Castro/Upper Market","37.75940322876","-122.44013977051"
"MISSION ST \ NAGLEE AVE","Outer Mission","37.71159362793","-122.44609069824"
"ANKENY ST \ SPARTA ST \ WARD ST","Visitacion Valley","37.7183380127","-122.40355682373"
"CEDAR ST \ VAN NESS AVE","Western Addition","37.78616714478","-122.42137145996"
"25TH ST \ RHODE ISLAND ST","Potrero Hill","37.75201797485","-122.4013671875"
"ARLINGTON ST \ FAIRMOUNT ST","Glen Park","37.73900985718","-122.42487335205"
"FOERSTER ST \ SUNNYSIDE TER","West of Twin Peaks","37.72871780396","-122.44884490967"
"BRIDGEVIEW DR \ NEWHALL ST \ REVERE AVE","Bayview Hunters Point","37.73378753662","-122.39390563965"
"DARIEN WAY \ SAN LEANDRO WAY","West of Twin Peaks","37.73184967041","-122.46874237061"
"CAPITOL AVE \ THRIFT ST","Oceanview/Merced/Ingleside","37.71745300293","-122.45907592773"
"SACRAMENTO ST \ SPRUCE ST","Presidio Heights","37.78734588623","-122.45359039307"
"FOLSOM ST \ OGDEN AVE","Bernal Heights","37.73589324951","-122.41358184814"
"PLYMOUTH AVE \ SAGAMORE ST","Oceanview/Merced/Ingleside","37.71140670776","-122.45603942871"
"FILBERT ST \ POLK ST","Russian Hill","37.79969406128","-122.42252349854"
"DETROIT ST \ STAPLES AVE","West of Twin Peaks","37.72909545898","-122.44428253174"
"PACIFIC AVE \ TAYLOR ST","Nob Hill","37.79608535767","-122.4133682251"
"FILBERT ST \ SCOTLAND ST","Chinatown","37.80101013184","-122.41230773926"
"ADDISON ST \ DIGBY ST","Glen Park","37.74008178711","-122.43370819092"
"STARK ST \ STOCKTON ST","Chinatown","37.79732894897","-122.40855407715"
"46TH AVE \ MORAGA ST","Sunset/Parkside","37.75482940674","-122.50553131104"
"ALABAMA ST \ MONTCALM ST","Bernal Heights","37.74557113647","-122.41049957275"
"04TH AVE \ CALIFORNIA ST","Inner Richmond","37.78526687622","-122.46244049072"
"FRANKLIN ST \ PACIFIC AVE","Pacific Heights","37.79460906982","-122.42487335205"
"KENSINGTON WAY \ MIRALOMA DR \ PORTOLA DR","West of Twin Peaks","37.74053573608","-122.45890808105"
"CLAY ST \ LAGUNA ST","Pacific Heights","37.79133987427","-122.4292678833"
"BRYANT ST \ THE EMBARCADERO","Financial District/South Beach","37.78709793091","-122.38779449463"
"ANDERSON ST \ OGDEN AVE","Bernal Heights","37.73600006104","-122.41544342041"
"23RD ST \ KANSAS ST","Potrero Hill","37.75451278687","-122.40255737305"
"ARLETA AVE \ ELLIOT ST","Visitacion Valley","37.71505737305","-122.41102600098"
"LA PLAYA \ LINCOLN WAY \ MARTIN LUTHER KING JR DR","Sunset/Parkside","37.76403427124","-122.50939941406"
"FIFTH ST \ NELSON RISING LN","Mission Bay","37.76956176758","-122.39273071289"
"BURROWS ST \ LA GRANDE AVE","Excelsior","37.72359466553","-122.42418670654"
"DIVISADERO ST \ FILBERT ST","Marina","37.79718017578","-122.44227600098"
"ATTRIDGE ALY \ FILBERT ST","Russian Hill","37.8005027771","-122.41630554199"
"MORSE ST \ UNNAMED 070","Excelsior","37.71278762817","-122.44007873535"
"LAUREL ST \ SACRAMENTO ST","Presidio Heights","37.78776550293","-122.45030212402"
"CHERRY ST \ CLAY ST","Presidio Heights","37.7878074646","-122.45706176758"
"POTOMAC ST \ WALLER ST","Haight Ashbury","37.77086257935","-122.43271636963"
"JESSIE ST \ JESSIE WEST ST","South of Market","37.78351974487","-122.40655517578"
"29TH AVE \ TARAVAL ST","Sunset/Parkside","37.74258041382","-122.48640441895"
"05TH ST \ CLEMENTINA ST","South of Market","37.78070068359","-122.40392303467"
"ALEMANY BLVD \ COTTER ST","Outer Mission","37.72817230225","-122.43497467041"
"ELLIS ST \ LARKIN ST","Tenderloin","37.78423690796","-122.41770935059"
"ELM ST \ GOUGH ST","Western Addition","37.78107833862","-122.423828125"
"05TH AVE \ CALIFORNIA ST","Inner Richmond","37.78512954712","-122.46350097656"
"MISSION ST \ NORTON ST","Outer Mission","37.72458648682","-122.43486785889"
"BAY ST \ WEBSTER ST","Marina","37.80284881592","-122.43497467041"
"29TH AVE \ ANZA ST","Outer Richmond","37.77797317505","-122.48887634277"
"18TH ST \ FLORIDA ST","Mission","37.76169967651","-122.41108703613"
"GATEVIEW AVE \ MASON CT","Treasure Island","37.82834243774","-122.3770980835"
"DRAKE ST \ WINDING WAY","Excelsior","37.70929718018","-122.4359664917"
"MABREY CT \ RICHARDS CIR \ WHITNEY YOUNG CIR","Bayview Hunters Point","37.73578262329","-122.38577270508"
"GOUGH ST \ MCALLISTER ST","Western Addition","37.77967453003","-122.42353820801"
"GREENWICH ST \ STEINER ST","Marina","37.79874038696","-122.43751525879"
"FELL ST \ FELL ACCESS RD","Golden Gate Park","37.77175521851","-122.45344543457"
"SAN BRUNO AVE \ SOMERSET ST","Visitacion Valley","37.71350860596","-122.40209960938"
"03RD ST \ UNDERWOOD AVE","Bayview Hunters Point","37.73006820679","-122.39234924316"
"APTOS AVE \ UPLAND DR","West of Twin Peaks","37.7303276062","-122.46625518799"
"SOUTH HILL BLVD \ TOYON LN","Excelsior","37.70950698853","-122.43023681641"
"26TH ST \ DE HARO ST","Potrero Hill","37.75075149536","-122.40021514893"
"BARNEVELD AVE \ GAVEN ST","Portola","37.73370361328","-122.40754699707"
"18TH ST \ HARTFORD ST","Castro/Upper Market","37.76095581055","-122.43390655518"
"11TH TI ST \ AVENUE M","Treasure Island","37.82789611816","-122.3687286377"
"26TH AVE \ VICENTE ST","Sunset/Parkside","37.73899459839","-122.48293304443"
"22ND ST \ CHATTANOOGA ST","Noe Valley","37.75496292114","-122.42663574219"
"BIRD ST \ DEARBORN ST","Mission","37.76222991943","-122.42298126221"
"COLUMBUS AVE \ FILBERT ST \ VIA BUFANO","Chinatown","37.80112457275","-122.41137695313"
"16TH ST \ CALEDONIA ST","Mission","37.76494598389","-122.42137908936"
"CHESTNUT ST \ DIVISADERO ST","Marina","37.79997634888","-122.44284820557"
"38TH AVE \ ANZA ST","Outer Richmond","37.77753067017","-122.49851989746"
"FOLSOM ST \ MOSS ST","South of Market","37.77717971802","-122.40729522705"
"PINE ST \ SANSOME ST","Financial District/South Beach","37.79210662842","-122.40093231201"
"CLAYTON ST \ IRON ALY","Castro/Upper Market","37.75833129883","-122.44456481934"
"30TH AVE \ MORAGA ST","Sunset/Parkside","37.75558853149","-122.48838806152"
"PORTOLA DR \ SUNVIEW DR","Twin Peaks","37.74685668945","-122.44709014893"
"20TH ST \ DOLORES ST","Mission","37.758228302","-122.42576599121"
"PAGE ST \ WEBSTER ST","Hayes Valley","37.77324676514","-122.4289932251"
"VALLEJO ST \ WHITE ST","Russian Hill","37.79722976685","-122.41949462891"
"FOLSOM ST \ HALLAM ST","South of Market","37.7759513855","-122.40884399414"
"43RD AVE \ POINT LOBOS AVE","Outer Richmond","37.77970504761","-122.50405883789"
"CALIFORNIA ST \ JORDAN AVE","Presidio Heights","37.78596496582","-122.45696258545"
"40TH AVE \ FULTON ST","Outer Richmond","37.77183532715","-122.50025939941"
"FRANCISCO ST \ MIDWAY ST","North Beach","37.80520629883","-122.40930175781"
"BRODERICK ST \ JACKSON ST","Pacific Heights","37.79141616821","-122.44282531738"
"16TH ST \ LANDERS ST","Castro/Upper Market","37.76457595825","-122.42755889893"
"ASHBURY ST \ CLIFFORD TER","Haight Ashbury","37.76418685913","-122.44607543945"
"EDNA ST \ MONTEREY BLVD","West of Twin Peaks","37.73154830933","-122.44728851318"
"28TH AVE \ LAWTON ST","Sunset/Parkside","37.75754165649","-122.48638153076"
"CRESTA VISTA DR \ EMIL LN","West of Twin Peaks","37.73550033569","-122.45555114746"
"19TH ST \ INDIANA ST","Potrero Hill","37.76159286499","-122.39154052734"
"18TH AVE \ GEARY BLVD","Outer Richmond","37.78044128418","-122.47724151611"
"PERALTA AVE \ POWHATTAN AVE","Bernal Heights","37.74127578735","-122.40875244141"
"37TH AVE \ GEARY BLVD","Outer Richmond","37.77950286865","-122.49758911133"
"MCKINNON AVE \ MENDELL ST","Bayview Hunters Point","37.73585510254","-122.38922119141"
"38TH AVE \ BALBOA ST","Outer Richmond","37.7756652832","-122.49838256836"
"03RD ST \ KING ST","Mission Bay","37.77812576294","-122.39183807373"
"GONZALEZ DR \ JOSEPHA AVE","Lakeshore","37.71601486206","-122.47750091553"
"CHURCH ST \ RANDALL ST","Glen Park","37.73973083496","-122.4266204834"
"GARDENSIDE DR \ VISTA LN","Twin Peaks","37.75257492065","-122.4454574585"
"47TH AVE \ NORIEGA ST","Sunset/Parkside","37.75291824341","-122.50647735596"
"CALIFORNIA ST \ MASON ST","Nob Hill","37.79183578491","-122.41082000732"
"GREENWICH ST \ TAYLOR ST","Russian Hill","37.80168914795","-122.41448974609"
"SUNSET BLVD \ YORBA ST","Sunset/Parkside","37.73502349854","-122.49401855469"
"MARIPOSA ST \ VERMONT ST","Potrero Hill","37.76338195801","-122.40437316895"
"26TH ST \ TENNESSEE ST","Bayview Hunters Point","37.75150299072","-122.38862609863"
"23RD ST \ ARKANSAS ST","Potrero Hill","37.75482559204","-122.39772796631"
"GRAFTON AVE \ LEE AVE","Oceanview/Merced/Ingleside","37.72003936768","-122.45409393311"
"ACADIA ST \ JOOST AVE","West of Twin Peaks","37.73237609863","-122.43746185303"
"EDIE RD \ UNNAMED 146","Presidio","37.80146026611","-122.45161437988"
"BROADMOOR DR \ WINSTON DR","West of Twin Peaks","37.72685623169","-122.4733505249"
"40TH AVE \ MORAGA ST","Sunset/Parkside","37.75510406494","-122.49909973145"
"BRODERICK ST \ JEFFERSON ST","Marina","37.80442428589","-122.4454574585"
"ASHBURY ST \ CLAYTON ST","Haight Ashbury","37.76272201538","-122.4469909668"
"SKYLINE BLVD \ ZOO RD","Lakeshore","37.72839355469","-122.50177001953"
"SAWYER ST \ SUNRISE WAY","Visitacion Valley","37.70969390869","-122.41595458984"
"KEARNY ST \ WASHINGTON ST","Chinatown","37.79532623291","-122.40496063232"
"FRIDA KAHLO WAY \ GENEVA AVE \ OCEAN AVE","West of Twin Peaks","37.7230796814","-122.45233154297"
"KNOLLVIEW WAY \ PANORAMA DR","Twin Peaks","37.75255584717","-122.45111083984"
"LILLIAN ST \ ROSIE LEE LN","Bayview Hunters Point","37.73207855225","-122.38053131104"
"ESMERALDA AVE \ PROSPECT AVE","Bernal Heights","37.74367904663","-122.41855621338"
"LOUISBURG ST \ MOUNT VERNON AVE","Oceanview/Merced/Ingleside","37.71935653687","-122.45082092285"
"30TH AVE \ CABRILLO ST","Outer Richmond","37.77419281006","-122.4896774292"
"CORONADO ST \ INGERSON AVE","Bayview Hunters Point","37.7174987793","-122.3902053833"
"DEL MONTE ST \ MOUNT VERNON AVE","Outer Mission","37.71547317505","-122.44379425049"
"LOUISBURG ST \ NIAGARA AVE","Oceanview/Merced/Ingleside","37.72048187256","-122.45010375977"
"BROADWAY \ PIERCE ST","Pacific Heights","37.79384994507","-122.43820953369"
"KENWOOD WAY \ KEYSTONE WAY","West of Twin Peaks","37.72805404663","-122.462890625"
"DAY ST \ SANCHEZ ST","Noe Valley","37.74276351929","-122.42880249023"
"41ST AVE \ PACHECO ST","Sunset/Parkside","37.74947357178","-122.49978637695"
"24TH ST \ ILLINOIS ST","Potrero Hill","37.75416946411","-122.38694000244"
"39TH AVE \ TARAVAL ST","Sunset/Parkside","37.74210357666","-122.49711608887"
"GRAFTON AVE \ JULES AVE","Oceanview/Merced/Ingleside","37.72001647949","-122.46123504639"
"BURROWS ST \ HARVARD ST","McLaren Park","37.72470855713","-122.41987609863"
"NORTH POINT ST \ WEBSTER ST","Marina","37.80382156372","-122.43516540527"
"RAYMOND AVE \ SAWYER ST","Visitacion Valley","37.7149848938","-122.41360473633"
"23RD AVE \ LAKE ST","Outer Richmond","37.78583526611","-122.48300170898"
"LE CONTE AVE \ LE CONTE CIR","Bayview Hunters Point","37.71771240234","-122.39555358887"
"26TH ST \ OSAGE ALY","Mission","37.74900817871","-122.41870880127"
"ARCH ST \ RANDOLPH ST","Oceanview/Merced/Ingleside","37.71427154541","-122.46709442139"
"CALIFORNIA ST \ DRUMM ST","Financial District/South Beach","37.7936630249","-122.39639282227"
"07TH ST \ CHANNEL ST","Mission Bay","37.76973342896","-122.39904785156"
"LIPPARD AVE \ UNNAMED 024","Glen Park","37.73529815674","-122.43539428711"
"ORA WAY \ TOPAZ WAY","Glen Park","37.73997879028","-122.43749237061"
"POLK ST \ TURK ST","Tenderloin","37.78216934204","-122.41899108887"
"THORNTON AVE \ VENUS ST","Bayview Hunters Point","37.73143386841","-122.39769744873"
"ATHENS ST \ PERU AVE","Excelsior","37.72632217407","-122.42492675781"
"FRANKLIN ST \ FULTON ST","Hayes Valley","37.77895736694","-122.42170715332"
"16TH AVE \ LAKE ST","Seacliff","37.78618240356","-122.47550201416"
"16TH ST \ ALABAMA ST","Mission","37.7654914856","-122.41241455078"
"POST ST \ TRADER VIC ALY","Nob Hill","37.78779220581","-122.41234588623"
"BROADMOOR DR \ STONECREST DR","West of Twin Peaks","37.72861862183","-122.47316741943"
"PORTOLA DR \ SANTA PAULA AVE","West of Twin Peaks","37.74004364014","-122.46282196045"
"EDDY ST \ LEAVENWORTH ST","Tenderloin","37.78372192383","-122.41423797607"
"20TH AVE \ LAKE ST","Outer Richmond","37.78598403931","-122.47978210449"
"PLYMOUTH AVE \ SAINT ELMO WAY \ YERBA BUENA AVE","West of Twin Peaks","37.73254394531","-122.45861053467"
"03RD ST \ CHANNEL ST","Mission Bay","37.7745513916","-122.38986206055"
"GRANADA AVE \ OCEAN AVE","Oceanview/Merced/Ingleside","37.72413635254","-122.45734405518"
"BRAZIL AVE \ PARIS ST","Excelsior","37.72393417358","-122.43323516846"
"CRYSTAL ST \ DE LONG ST \ GOETHE ST \ RHINE ST","Outer Mission","37.70967483521","-122.46060943604"
"FRANKLIN ST \ SUTTER ST","Western Addition","37.78733825684","-122.42340087891"
"ALEMANY BLVD \ SILVER AVE","Outer Mission","37.7297744751","-122.43338775635"
"CARL ST \ HILLWAY AVE","Inner Sunset","37.7649307251","-122.4567565918"
"EDINBURGH ST \ PERU AVE","Excelsior","37.72745895386","-122.42729949951"
"PROSPECT AVE \ VIRGINIA AVE","Bernal Heights","37.74231719971","-122.41949462891"
"SYCAMORE ST \ VALENCIA ST","Mission","37.76257705688","-122.42166137695"
"SATURN ST \ TEMPLE ST","Castro/Upper Market","37.7625541687","-122.44298553467"
"14TH ST \ WOODWARD ST","Mission","37.76822662354","-122.42077636719"
"21ST ST \ FAIR OAKS ST","Mission","37.7567024231","-122.42444610596"
"PINE ST \ POLK ST","Nob Hill","37.7896194458","-122.42049407959"
"PARNASSUS AVE \ STANYAN ST","Inner Sunset","37.7645111084","-122.4525680542"
"03RD ST \ HARRISON ST","South of Market","37.78255462646","-122.39738464355"
"14TH AVE \ IRVING ST","Inner Sunset","37.76380157471","-122.47166442871"
"BADEN ST \ MONTEREY BLVD","West of Twin Peaks","37.7315826416","-122.43974304199"
"OAK PARK DR \ WARREN DR","Inner Sunset","37.755443573","-122.45624542236"
"11TH AVE \ CLEMENT ST","Inner Richmond","37.78270339966","-122.46977233887"
"10TH AVE \ LINCOLN WAY","Golden Gate Park","37.76587677002","-122.46751403809"
"37TH AVE \ YORBA ST","Sunset/Parkside","37.73480987549","-122.49446105957"
"MISSION ST \ WASHBURN ST","South of Market","37.77589035034","-122.41513061523"
"CHESTNUT ST \ GRANT AVE","North Beach","37.80436706543","-122.40833282471"
"COLUMBUS AVE \ GREENWICH ST \ SCOTLAND ST","Chinatown","37.80192947388","-122.41254425049"
"02ND AVE \ LINCOLN WAY","Inner Sunset","37.76625442505","-122.45894622803"
"30TH AVE \ ULLOA ST","Sunset/Parkside","37.74066543579","-122.48734283447"
"BEACON ST \ DIAMOND ST","Glen Park","37.74259185791","-122.43550872803"
"BRUSSELS ST \ SILVER AVE","Portola","37.73184585571","-122.40753936768"
"24TH ST \ CHURCH ST","Noe Valley","37.75170516968","-122.42743682861"
"14TH ST \ WALTER ST","Castro/Upper Market","37.76752853394","-122.43229675293"
"BRUSSELS ST \ SILLIMAN ST","Portola","37.73071670532","-122.40707397461"
